DeviceID,Trip,Time,GPS_Elevation,GPS_Fix_Quality,GPS_Hdop,GPS_Heading,GPS_Latitude,GPS_Longitude,GPS_Number_Satellites,GPS_Pdop,GPS_Speed,GPS_UTC_Time,GPS_Valid,DAS_Roll_Rate,DAS_Pitch_Rate,InVehicle_ABS_State,InVehicle_Brake_Status,InVehicle_Headlight_Status,InVehicle_Longitudinal_Accel,InVehicle_Longitudinal_Speed,InVehicle_PRNDL,InVehicle_Stability_Control_Status,InVehicle_Steering_Position,InVehicle_Throttle_Position,InVehicle_Traction_Control_Status,InVehicle_Turn_Signal_Left,InVehicle_Turn_Signal_Right,InVehicle_Wiper_Status,InVehicle_Yaw_Rate,LaneTrack_Crossing_Left,LaneTrack_Crossing_Right,LaneTrack_Distance_Left_Marker,LaneTrack_Distance_Right_Marker,LaneTrack_Lane_Width,LaneTrack_Probability_Left_Exist,LaneTrack_Probability_Right_Exists,LaneTrack_Shift_Aborted,LaneTrack_Shift_Left,LaneTrack_Shift_Right,LaneTrack_Shift_Successful,LaneTrack_Type_LeftLane_LeftMarker,LaneTrack_Type_LeftLane_RightMarker,LaneTrack_Type_RightLane_LeftMarker,LaneTrack_Type_RightLane_RightMarker,Video_Frame,Video_Front,Video_Overlay,Object_Left_F,Object_Right_F,Object_Left_B,Object_Right_B,DVISwitchState
10,1417759,0,237.393005,2,0.89,105.209999,42.305222,-83.707924,10,1.55,8.378959,1365722992900,1,0,-0.325195,2         ,15        ,0,-0.5298,8.194445,2,1,-4.5,0,2         ,0,0,0,-0.5,0,0,-1280,2997,3657.599854,336,609,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,100,237.393005,2,0.89,104.75,42.305218,-83.707916,10,1.55,8.272069,1365722993000,1,0,-2.601563,2         ,15        ,0,-0.9178,8.097222,2,1,-1.875,0,2         ,0,0,0,-0.5,0,0,-1193,2819,3657.599854,287,621,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,200,237.393005,2,0.89,104.699997,42.305218,-83.707901,10,1.55,8.238153,1365722993100,1,0,-2.926758,2         ,15        ,0,-0.8402,8.008333,2,1,1.875,0,2         ,0,0,0,0,0,0,-1182,2825,3657.599854,238,621,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,300,237.393005,2,0.89,104.919998,42.305214,-83.707893,10,1.55,8.256139,1365722993200,1,-0.650391,-2.276367,2         ,15        ,0,-0.6074,7.963889,2,1,7.09375,0,2         ,0,0,0,0.4,0,0,-1220,2822,3657.599854,122,629,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,400,237.393005,2,0.89,104.440002,42.305214,-83.707886,10,1.55,8.162611,1365722993300,1,-0.975586,0,2         ,15        ,0,-0.5298,7.944445,2,1,14,0,2         ,0,0,0,1.3,0,0,-1910,2813,3657.599854,19,629,0,0,0,0,1,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,500,237.393005,2,0.89,104.339996,42.30521,-83.707878,10,1.55,8.115334,1365722993400,1,0,1.300781,2         ,15        ,0,-0.5298,7.944445,2,1,14,0,2         ,0,0,0,1.3,0,0,-2438,2412,3657.599854,59,609,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,600,237.393005,2,0.89,104.629997,42.30521,-83.707863,10,1.55,7.984292,1365722993500,1,-0.975586,1.300781,2         ,15        ,0,-0.5298,7.925,2,1,21.5,0,2         ,0,0,0,2.2,0,0,-1864,3031,3657.599854,32,456,0,0,0,0,2,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,700,237.393005,2,0.89,104.889999,42.305206,-83.707855,10,1.55,8.034653,1365722993600,1,-0.325195,0.975586,2         ,15        ,0,-0.6074,7.866667,2,1,27.78125,0,2         ,0,0,0,3.7,0,0,-2174,3128,3657.599854,37,456,0,0,0,0,0,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,800,237.292999,2,0.89,104.849998,42.305206,-83.707848,10,1.55,7.947292,1365722993700,1,-0.650391,0.650391,2         ,15        ,0,-0.6074,7.819445,2,1,33.09375,0,2         ,0,0,0,4.4,0,0,-1930,3402,3657.599854,40,456,0,0,0,0,2,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,1417759,900,237.393005,2,0.89,105.800003,42.305202,-83.70784,10,1.55,7.744306,1365722993800,1,0,0.975586,2         ,15        ,0,-0.685,7.758333,2,1,38.6875,0,2         ,0,0,0,5.2,0,0,-1920,3616,3657.599854,32,456,0,0,0,0,2,0,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
