RxDevice,FileId,TxDevice,StartTime,Endtime,Value
42,4322708,42,292784451805640,292784451805640,1
62,4337510,62,292765223933728,292765224533664,0
62,4337510,62,292765224633736,292765280033758,1
62,4337510,62,292765280133699,292765280733764,0
62,4337510,62,292765280833709,292765280833709,3
62,4337510,62,292765280933705,292765669936315,1
62,4337510,62,292765670036316,292765670636311,0
62,4337510,62,292765670736264,292765711337377,1
62,4337510,62,292765711437372,292765711937368,0
62,4337510,62,292765712037376,292765712037376,3
62,4337510,62,292765712137372,292765743737426,1
62,4337510,62,292765743837365,292765744437369,0
62,4337510,62,292765744537429,292765751237393,1
62,4337510,62,292765751337447,292765751837409,3
62,4337510,62,292765751937400,292765755437410,1
62,4337510,62,292765755537474,292765756037468,3
62,4337510,62,292765756137406,292765760137474,1
62,4337510,62,292765760237484,292765760837487,3
62,4337510,62,292765760937422,292765766837490,1
